Sample name	Raw total reads	Raw read pairs	Adapter clipped total reads	Adapter clipped read pairs	Restriction enzyme filtered total reads	Restriction enzyme filtered read pairs
P2-HDGS-141	1930490	965245	1930434	965217	1831448	915724
P2-HDGS-142	881278	440639	881276	440638	843356	421678
P2-HDGS-143	3775214	1887607	3775206	1887603	3622300	1811150
P2-HDGS-145	4416238	2208119	4416074	2208037	4251482	2125741
P2-HDGS-147	5179612	2589806	5179518	2589759	4926580	2463290
P2-HDGS-148	5224972	2612486	5224946	2612473	4907804	2453902
P2-HDGS-149	4834068	2417034	4833842	2416921	4587104	2293552
P2-HDGS-150	3811560	1905780	3811552	1905776	3634410	1817205
P2-HDGS-151	5451050	2725525	5451024	2725512	5157994	2578997
P2-HDGS-152	5400668	2700334	5400648	2700324	5150074	2575037
P2-HDGS-153	2105586	1052793	2105568	1052784	2018030	1009015
P2-HDGS-154	6734858	3367429	6734838	3367419	6479790	3239895
P2-HDGS-155	762246	381123	762246	381123	727418	363709
P2-HDGS-156	3137042	1568521	3137040	1568520	3020202	1510101
P2-HDGS-157	1990926	995463	1990924	995462	1900374	950187
P2-HDGS-158	3989672	1994836	3989256	1994628	3811054	1905527
P2-HDGS-159	3949280	1974640	3949254	1974627	3800044	1900022
P2-HDGS-160	4286398	2143199	4286294	2143147	4068282	2034141
P2-HDGS-161	2442558	1221279	2442554	1221277	2331480	1165740
P2-HDGS-162	5279332	2639666	5279128	2639564	4991394	2495697
P2-HDGS-163	3481832	1740916	3481712	1740856	3293772	1646886
P2-HDGS-164	4393838	2196919	4393754	2196877	4111878	2055939
P2-HDGS-165	3639266	1819633	3639244	1819622	3474226	1737113
P2-HDGS-166	4464422	2232211	4464414	2232207	4157518	2078759
P2-HDGS-167	5283204	2641602	5283198	2641599	5021366	2510683
P2-HDGS-169	4713796	2356898	4713782	2356891	4539872	2269936
P2-HDGS-171	3085316	1542658	3085316	1542658	2857412	1428706
P2-HDGS-172	3960526	1980263	3960516	1980258	3801360	1900680
P2-HDGS-173	3892542	1946271	3892520	1946260	3721156	1860578
P2-HDGS-174	3448830	1724415	3448754	1724377	3280028	1640014
P2-HDGS-175	5847046	2923523	5847036	2923518	5534224	2767112
P2-HDGS-176	3591908	1795954	3591904	1795952	3405622	1702811
P2-HDGS-177	4840254	2420127	4840088	2420044	4635144	2317572
P2-HDGS-179	7232602	3616301	7232592	3616296	6851828	3425914
P2-HDGS-180	3881182	1940591	3881020	1940510	3714920	1857460
P2-HDGS-181	3867170	1933585	3867122	1933561	3689744	1844872
P2-HDGS-182	2767702	1383851	2767686	1383843	2633336	1316668
P2-HDGS-183	849150	424575	849120	424560	805094	402547
P2-HDGS-184	1460930	730465	1460912	730456	1395190	697595
P2-HDGS-185	4745138	2372569	4744690	2372345	4613556	2306778
P2-HDGS-186	4338998	2169499	4338930	2169465	4111838	2055919
P2-HDGS-187	3920136	1960068	3919508	1959754	3803142	1901571
P2-HDGS-188	5722518	2861259	5722502	2861251	5520406	2760203
P2-HDGS-189	4911910	2455955	4911900	2455950	4719916	2359958
P2-HDGS-190	3757682	1878841	3757676	1878838	3642344	1821172
P2-HDGS-191	4277378	2138689	4277258	2138629	4090726	2045363
